nom,date,temps,rate,vote,resume,cover
Once Upon a Time in... Hollywood,2019,2h 41m,7.6,901.0,Un acteur de télé has-been et sa doublure se lancent dans une odyssée pour se faire un nom dans l'industrie cinématographique lors des meurtres de Charles Manson en 1969 à Los Angeles.,"https://m.media-amazon.com/images/M/MV5BM2QxYWVkNDEtZDI1Zi00MDEyLWJmMmItYmU3N2FiOTY2ZWFiXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
John Wick : Chapitre 4,2023,2h 49m,7.6,373.0,La suite des aventures de l'assassin John Wick.,"https://m.media-amazon.com/images/M/MV5BNDI3OWNiMGItZmVkMS00Mjg3LWJhNzUtNDViMWU3OTJiODAyXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg"
300,2006,1h 57m,7.6,888.0,Le roi Leonidas de Sparte et une armée de 300 hommes combattent les Perses à Thermopyles en 480 avant Jésus Christ.,"https://m.media-amazon.com/images/M/MV5BOTNiYWM0YWQtNGY2OC00MmJiLWJhN2MtMWExMjAyNTU4MzI4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Le Cinquième Élément,1997,2h 6m,7.6,525.0,"Dans un futur coloré, un chauffeur de taxi devient sans le vouloir la figure centrale de la recherche d'une arme cosmique légendaire pour tenir le mal et M. Zorg à distance.","https://m.media-amazon.com/images/M/MV5BNjZkZTVmNjktMjdlNC00ZDRmLWFkOTAtNmRjYWZlMzk4YmM0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Watchmen : Les Gardiens,2009,2h 42m,7.6,596.0,"En 1985 où existent d'anciens superhéros, l'assassinat d'un collègue voit Rorschach, un militant actif, mener sa propre enquête, découvrant quelque chose qui pourrait complètement changer le cours de l'histoire tel que nous le connaissons.","https://m.media-amazon.com/images/M/MV5BMTEzYmViMDUtODdlMi00NGUwLTljMDktNTZlNzQxMjc0NjNhXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg"
"Mission : Impossible - Dead Reckoning, partie 1",2023,2h 43m,7.6,282.0,"Une clef, déverrouillant un immense pouvoir, est convoitée par toutes les puissances mondiales. Chargés de la récupérer, Ethan Hunt et son équipe font défection afin de la détruire avant qu'elle ne tombe entre de mauvaises mains.","https://m.media-amazon.com/images/M/MV5BNDFkZjllNWMtNzZhNS00MTc5LTk2MTAtN2VhZTUzNDI3MzRiXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg"
"Star Wars, épisode III : La Revanche des Sith",2005,2h 20m,7.6,875.0,"Dans la troisième année de la Guerre des Clones, le Jedi sauve Palpatine du Comte Dooku. Alors qu'Obi-Wan se lance à la poursuite d'une nouvelle menace, Anakin agit comme agent double entre le Conseil Jedi et Palpatine, et il est attiré dans un plan sinistre pour régner sur la galaxie.","https://m.media-amazon.com/images/M/MV5BYmQ1YzY5YjctYzVhNS00MThiLWExNTQtMDY5NmFkMjhjYzJhXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Mon cousin Vinny,1992,2h,7.6,149.0,"Deux new yorkais sont accusés d'un meurtre dans la campagne d'Alabama lorsqu'ils retournait en faculté, et un de leurs cousins, un avocat inexperimenté et grande gueule pas habitués à la culture et aux manières du Sud, arrive pour les défendre.","https://m.media-amazon.com/images/M/MV5BYmQyMGNmMzctYjI0Ny00NTE5LTkzMDItNzY0NWI2OGM0ZGEwXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Aftersun,2022,1h 42m,7.6,113.0,Sophie réfléchit à la joie partagée et à la mélancolie intime des vacances qu'elle a prises avec son père vingt ans auparavant. Elle tente de réconcilier le père qu'elle a connu avec l'homme qu'elle n'a pas connu.,"https://m.media-amazon.com/images/M/MV5BNjVkNDY3YjgtNDIwMi00OTQ0LTllMGUtYzQwZWFiODE5MGFlXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
RoboCop,1987,1h 42m,7.6,295.0,"Dans un Détroit dystopique, détruit par le crime, un policier entre la vie et la mort revient dans la police sous la forme d'un puissant cyborg hanté par des souvenirs enfouis.","https://m.media-amazon.com/images/M/MV5BYzA2NjI4OGUtY2FhOS00NjU2LTlmYjItYzFhOTgxOWIwNTM3XkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg"
